smiles,energy_hartree,gap_eV
COc1ccccc1N1CCN(CCCCNCc2ccccc2)CC1,-75.72404001851596,2.9445652704141523
O=C(O)CCN1C(=O)CCC1=O,-38.819399935263625,3.919934494190613
Cc1ccnc(NC23CC4CC(CC(C4)C2)C3)c1,-51.40015118835339,3.312745475053008
C=C(C(=O)c1ccc(Cl)cc1)n1c(=O)ccc2ccccc21,-60.23233920520212,2.306224034406184
COc1ccc(COCC(Cn2ccnc2)OCCC/C=C/C(=O)O)cc1,-82.23916353063058,2.6869635270964576
CC1CCCC(C)N1CCCNC(=O)C(c1ccccc1)c1ccccc1,-77.62987562828498,2.8106824312051346
NCC(O)COc1ccccc1,-36.90948964501977,4.214639273363455
Cc1c(O)n(Cc2ccccc2F)c2nc3c(c(=O)n(C)c(=O)n3C)n2c1=O,-82.43660968052058,2.86868767644975
Cc1ccc(Oc2cc(C)c(Cl)cc2C)c(CC(=O)O)c1,-61.85134172591801,3.6179393992113895
COc1ccc(C(OCCn2c([N+](=O)[O-])cnc2C)c2ccccc2)cc1,-78.472878994449,1.6730459830153197
Cc1[nH]cnc1CCC(=O)c1nn(C)c2ccccc12,-56.04514901336714,2.251829862143028
Cc1c(C(=O)[O-])oc2ccc(Cc3cccnc3)cc12.[Na+],-52.59910307495593,0.2448276598115655
CCOc1nc2nc(C(=O)c3ccccc3)cn2c2c1CCCC2,-67.31385687981482,2.516454581860732
CCNc1cccnc1N1CCN(C(=O)c2cccs2)CC1,-63.47393047813717,2.2734365391487312
O=C(O)C1Cc2cc(F)ccc2CN1C(=O)CCS,-58.10370260913315,2.654202425594373
Cc1ccc(CCC(=O)NC2N=C(c3ccc(C(N)=O)cc3)c3ccccc3N(C)C2=O)cc1,-94.98932599561002,2.2802020154286358
O=C1CN2CCCCC2c2c1c1ccccc1n2CCCNS(=O)(=O)c1cccs1,-87.32679007500955,2.024221320874809
O=C(O)CCCCCCc1cnccc1CCNS(=O)(=O)c1ccc(Cl)cc1,-85.48227728804817,2.3935723405753744
CN(CCCn1ccnc1[N+](=O)[O-])CCCn1ccnc1[N+](=O)[O-],-74.08476975645041,1.1687876923916605
COc1ccc(C(=O)c2c(C)n(CCN3CCNCC3)c3ccccc23)cc1,-79.92400252828708,2.2866795162702265
COc1c(Cl)c(-n2ccc3c4c(N)nc(N)nc4nc(=O)c-3c2)c(Cl)c(OC)c1OC,-91.74916708338276,1.0822883670360803
CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC/C(C)=N/OC,-78.57128066083955,2.3307074140557664
COc1cccc(NN2C(S)=NC(C)C2c2ccccc2)c1,-62.14617134850636,3.64520309834928
COc1cc(CC(C)N)c(OC)cc1Cc1ccccc1,-61.30699466070854,3.5442093257564733
C=CCC1(C(C)C#CCC)C(=O)NC(=S)NC1=O,-53.17860124475016,1.7354939048794724
CC(=O)N1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2)CC1,-91.35204147725352,2.3360257324634097
O=c1[nH]c(/C=C/c2ccccc2)nc2ccccc12,-50.28269584594887,2.684500099580249
CC(=O)Nc1ccc(S(=O)(=O)N=C(N)N)cc1,-52.52913677805844,3.65448795847903
O=C(O)Cc1ccc2c(c1)Oc1ccccc1NC2=O,-56.93862892368317,2.988689855280021
Cn1c(=O)oc2c3ncccc3c(Cl)cc21,-45.70376197013344,2.189574228295462
Cc1cccc(Nc2ccccc2-c2nnc(S)o2)c1C,-57.97939650587824,2.7964066216725025
CCCN1CC=C(c2c[nH]c3ccc(C(N)=O)cc23)CC1,-59.95332037274264,2.521133476519072
CC(=O)C[n+]1ccc(/C=C/c2cccc3ccccc23)cc1.[Br-],-60.8878397604849,0.2765432202582006
CC(C)CS(=O)(=O)On1c(=O)[nH]c2ccccc2c1=O,-62.280383741768425,3.321710208324641
Nc1cccc2c1CCC(=O)N2CCCN1CCN(c2cccc(Cl)c2)CC1,-81.23597888838388,2.856176785452332
CN1Cc2c(C(=O)OCC3CC3)ncn2-c2ccc(Cl)cc2C1=O,-70.11860247413576,2.91238267966853
CS(=O)(=O)Nc1ccc(-c2cc(C(F)(F)F)nn2-c2cccc(Cl)c2)cc1,-81.92678766530571,3.2179522704576105
